summonerId,summonerLevel,tier,rank,leaguePoints,plays,wins,mostPositionId,mostPosition,mostChampionIds
eJ81tMvFsjtmd6LLx9NAptsXeEHb0zWPchfKlPIvmtU8JMc,130,CHALLENGER,I,1058,280,171,2,JUNGLE,"[76, 60, 59, 64, 203]"
baptfq_BKPpXw4sLbZ-nbyRq1aFYUgvAdEQt5lyGsRAgT0E,503,CHALLENGER,I,1056,866,457,5,UTILITY,"[497, 526, 12, 110, 53]"
rbVHjQJn5ciXFQLkkDTMePwB3kbI_S_SzBwQGvvFBs_ySa2jb3BAI3pYbQ,189,CHALLENGER,I,1055,859,457,2,JUNGLE,"[64, 68, 30, 76, 63]"
i8HN6DfsB9Jqmrs4UMSp1Yer1nYm3OiHAIa-KD2a1hq9Us6P,372,CHALLENGER,I,1053,237,144,3,MIDDLE,"[142, 81, 134, 117, 84]"
WFcWsZ5e-2U6KqFLMz6xXzqXBb7dbwyKg-bumKZef4pYHqCNRb2BlMoF2Q,54,CHALLENGER,I,1051,175,116,2,JUNGLE,"[154, 427, 56, 254, 44]"
D0q3DJW1gg0t5uQoJKLPFRqmHJpXHDSBzjYgN7WRC2mU-w,328,CHALLENGER,I,1050,321,187,3,MIDDLE,"[777, 268, 61, 126, 266]"
hS6qiFeKNw7-xfPNAL2G_EGqh1_M400GPfuJqTo4JhXxlDE3rZzV-qOiQg,120,CHALLENGER,I,1049,368,215,3,MIDDLE,"[61, 126, 84, 134, 777]"
xCQA6jdY9MPWeneTQiWoMPQOz9fCH_-D56JlHIbS3NdB120,378,CHALLENGER,I,1047,383,221,1,TOP,"[266, 68, 897, 64, 24]"
92Ql6Bk3z81h507y0BMgIX32KBCGnQv-zYW9H9XWMb1csSw,424,CHALLENGER,I,1045,319,185,3,MIDDLE,"[61, 126, 777, 518, 84]"
5aDaL7rUH_xJdvtIh5Jv1EAsO7xdedimJsu1U7In70494HTTPJLPVGLvKQ,94,CHALLENGER,I,1044,847,462,3,MIDDLE,"[18, 84, 126, 517, 61]"
mWVIdHJ5_U2RsX9KLTe0gBz5ESgtrRxQb3kQFvIR5oB62p7lJlnJ9UGaCA,671,CHALLENGER,I,1043,1371,706,5,UTILITY,"[526, 111, 12, 497, 53]"
hMrFiqPnDMt-QYNluFNEam-zD0BXIKeQCqk-64AXaLuyrNA,872,CHALLENGER,I,1043,1160,604,2,JUNGLE,"[234, 64, 113, 59, 60]"
Bd_iJa5LJp--vQZEOMtzRtTq8IkpYrj47fT9bLJJjIyRGpk,446,CHALLENGER,I,1038,379,211,1,TOP,"[266, 875, 58, 897, 150]"
